tick,forest_burnt,forest_burnt_perc,oak_trees_burnt,pine_trees_burnt,no_sparks,mean_temperature,max_temperature
0.0,1.0,0.001841620626151,1.0,0.0,0.0,20.0,20.0
1.0,1.0,0.001841620626151,1.0,0.0,0.0,20.00275482093664,21.0
2.0,1.0,0.001841620626151,1.0,0.0,0.0,20.005509641873285,22.0
3.0,1.0,0.001841620626151,1.0,0.0,0.0,20.008264462809915,23.0
4.0,1.0,0.001841620626151,1.0,0.0,0.0,20.011019283746556,24.0
5.0,1.0,0.001841620626151,1.0,0.0,0.0,20.013774104683197,25.0
6.0,1.0,0.001841620626151,1.0,0.0,0.0,20.016528925619838,26.0
7.0,1.0,0.001841620626151,1.0,0.0,0.0,20.01928374655648,27.0
8.0,1.0,0.001841620626151,1.0,0.0,0.0,20.02203856749311,28.0
9.0,1.0,0.001841620626151,1.0,0.0,0.0,20.02479338842976,29.0
10.0,1.0,0.001841620626151,1.0,0.0,0.0,20.02754820936639,30.0
11.0,1.0,0.001841620626151,1.0,0.0,0.0,20.03030303030303,31.0
12.0,1.0,0.001841620626151,1.0,0.0,0.0,20.033057851239672,32.0
13.0,1.0,0.001841620626151,1.0,0.0,0.0,20.035812672176313,33.0
14.0,1.0,0.001841620626151,1.0,0.0,0.0,20.03856749311294,34.0
15.0,1.0,0.001841620626151,1.0,0.0,0.0,20.041322314049584,35.0
16.0,1.0,0.001841620626151,1.0,0.0,0.0,20.044077134986225,36.0
17.0,1.0,0.001841620626151,1.0,0.0,0.0,20.046831955922865,37.0
18.0,1.0,0.001841620626151,1.0,0.0,0.0,20.049586776859506,38.0
19.0,1.0,0.001841620626151,1.0,0.0,0.0,20.052341597796147,39.0
20.0,1.0,0.001841620626151,1.0,0.0,0.0,20.055096418732777,40.0
21.0,1.0,0.001841620626151,1.0,0.0,0.0,20.05785123966942,41.0
22.0,1.0,0.001841620626151,1.0,0.0,0.0,20.060606060606062,42.0
23.0,1.0,0.001841620626151,1.0,0.0,0.0,20.063360881542703,43.0
24.0,1.0,0.001841620626151,1.0,0.0,0.0,20.066115702479344,44.0
